dm_1 foto_1 straaling_1 temp_1 lai_1 meldug_1 lai_0 dm_2 foto_2 straaling_2 temp_2 lai_2 meldug_2 dm_3 foto_3 straaling_3 temp_3 lai_3 meldug_3 dm_4 foto_4 straaling_4 temp_4 lai_4 meldug_4 mikro_1 middel_1 mikro_2 middel_2 mikro_3 middel_3 nedboer_1 nedboer_2 nedboer_3 udbytte
32 20 4 4 8 9 8 61 20 4 4 8 9 100 33 4 4 7 9 100 28 4 4 4 9 4 4 4 4 4 4 3 3 3 86
16 11 2 1 5 5 5 27 9 1 1 3 7 48 16 2 1 2 2 50 6 1 3 1 0 3 0 1 3 0 3 2 2 1 43
11 9 1 1 3 6 4 22 9 2 2 3 0 39 13 1 2 2 0 33 0 1 2 0 0 2 3 2 2 1 2 0 0 1 28
19 14 3 2 4 6 5 36 13 3 1 3 4 44 10 0 2 2 1 47 6 1 2 1 0 3 2 3 3 2 1 2 2 1 40
15 10 2 1 3 4 4 25 8 1 3 3 0 48 16 3 1 2 0 59 12 1 1 1 0 3 1 2 3 1 0 2 0 1 50
8 7 1 1 2 8 6 18 9 2 2 2 3 29 9 1 2 1 0 21 0 0 3 0 0 0 3 2 2 2 1 0 1 0 17
14 10 3 1 2 7 4 23 7 2 1 1 6 36 11 1 2 1 2 35 4 0 1 0 0 1 0 0 1 2 3 0 1 1 30
5 5 2 3 1 8 5 5 2 1 3 0 8 3 2 1 1 0 4 0 0 1 3 0 3 2 0 3 2 0 0 0 1 0 0
16 11 1 1 4 7 6 26 10 2 1 4 5 49 18 2 1 3 0 53 8 1 1 1 0 2 1 0 3 1 0 0 0 2 45
8 7 2 1 2 6 3 20 10 2 1 2 0 34 13 2 2 1 0 35 5 1 2 0 0 0 3 1 0 2 2 0 1 0 30
12 10 2 1 5 4 5 24 10 1 3 5 6 37 10 2 2 1 8 33 3 0 3 0 8 1 0 3 0 2 0 1 1 1 28
12 9 1 1 5 0 5 32 14 2 2 6 0 51 16 1 2 4 0 52 6 0 2 1 0 0 0 3 2 3 3 0 1 1 45
19 13 3 1 7 0 7 35 12 2 2 7 0 64 21 2 1 5 0 77 15 2 2 2 0 0 0 2 2 0 2 0 0 1 66
10 8 1 1 2 7 3 18 8 2 1 1 7 13 1 1 2 0 8 7 0 2 3 0 2 3 1 1 0 0 3 1 2 1 6
11 9 1 1 5 5 5 25 11 2 3 5 3 57 22 2 1 4 1 73 14 2 2 2 2 0 0 3 3 1 0 1 1 1 62
11 9 1 1 5 4 6 30 13 3 1 5 1 52 17 2 2 4 0 59 9 1 2 1 0 3 2 1 1 3 3 2 1 1 50
11 9 1 1 3 0 3 18 7 1 1 2 0 27 9 2 1 1 0 27 4 1 2 0 0 1 3 0 2 1 0 2 1 2 23
14 11 2 2 7 0 7 26 10 1 1 6 0 56 21 2 1 4 0 62 9 0 2 1 0 1 3 1 0 1 0 1 2 2 53
10 8 1 1 2 8 4 21 9 1 1 3 4 37 13 2 2 2 0 40 7 1 3 1 0 0 3 1 1 2 3 0 1 0 34
12 9 1 2 4 1 4 21 8 1 2 4 0 36 12 0 2 3 0 45 9 0 1 1 0 1 0 3 2 1 3 2 2 2 39
11 9 1 1 4 0 4 28 12 2 3 4 0 52 17 1 1 3 0 64 12 2 3 1 0 1 3 3 0 3 2 1 1 2 54
13 9 1 3 4 7 6 21 7 1 2 2 8 16 0 1 2 0 8 9 0 1 3 0 6 2 0 3 1 3 1 0 2 1 7
4 5 0 3 3 4 3 11 7 1 1 3 3 26 12 2 2 2 0 37 10 1 1 1 0 3 2 3 3 3 1 2 2 2 31
15 11 1 1 5 6 6 25 9 1 3 4 6 43 15 1 2 3 3 56 12 2 1 1 0 1 0 2 2 2 1 2 0 0 47
15 11 2 3 4 3 4 23 7 1 1 3 5 41 14 1 2 2 0 43 6 1 3 1 0 2 0 3 3 1 3 0 2 1 37
8 7 1 1 3 1 3 17 8 1 1 3 0 44 19 2 1 2 0 49 7 1 3 1 0 1 3 1 0 3 3 2 1 2 41
13 10 1 1 6 1 6 26 11 1 1 6 1 50 17 1 2 4 0 53 7 1 2 1 0 0 0 0 2 2 3 0 0 0 45
11 9 1 0 2 8 5 10 2 2 3 0 4 7 2 1 1 0 1 4 1 0 1 0 0 1 1 2 1 0 2 2 0 1 3
9 7 1 0 2 8 4 12 5 1 1 1 2 23 11 1 2 1 0 20 1 0 2 0 0 1 2 0 2 2 1 2 1 1 17
14 11 1 1 5 4 6 19 6 1 3 2 7 23 7 0 2 1 1 16 0 0 2 0 0 3 0 2 3 2 1 2 0 1 13
10 9 1 0 4 7 6 19 8 1 1 3 0 41 16 2 1 2 0 51 10 1 2 1 0 0 3 1 1 0 2 0 1 0 44
10 8 0 1 5 0 6 18 8 1 1 5 0 34 13 0 2 4 0 37 6 0 2 1 0 2 1 3 1 1 2 0 1 1 32
9 8 0 0 5 1 5 21 10 1 1 5 0 55 24 3 1 4 0 60 9 1 3 1 0 0 2 3 3 1 1 1 1 2 51
18 12 2 2 6 0 6 32 11 2 2 6 0 59 19 1 1 4 0 66 9 0 1 1 0 1 3 1 1 1 3 1 2 2 56
13 10 0 1 7 0 7 24 10 1 2 6 0 55 21 2 1 4 0 65 12 0 1 2 0 1 1 0 0 3 1 1 0 2 55
14 11 2 2 5 5 5 29 11 2 3 5 1 53 18 2 1 3 0 59 9 1 1 1 0 2 1 3 2 2 3 0 2 1 50
16 12 1 1 6 3 6 35 14 2 1 6 0 51 14 0 2 4 0 59 10 1 2 1 0 3 2 1 2 1 3 0 2 1 51
9 7 0 1 4 7 6 23 10 1 3 4 3 37 13 1 2 2 0 40 7 1 1 1 0 1 2 0 2 3 2 0 0 2 34
13 10 1 3 6 1 7 25 10 0 1 6 0 52 19 3 2 3 1 59 9 1 1 1 4 2 3 3 0 3 0 0 1 2 50
