index,instance,width_bound,heuristic,random_seed,tw,msss,score,log_likelihood,reasoning_time
0,water-5000,50,kmax,5,4,768.0,-65865.813,-12.946465970159297,0.01675050497055054
1,survey-5000,50,kmax,5,2,12.0,-19710.916,-3.931762627574588,0.007469272613525391
2,sachs-5000,50,kmax,5,5,729.0,-36511.41,-7.162536099798797,0.010130569934844971
3,mildew-5000,50,kmax,5,5,14968800.0,-262638.071,-48.76825478114104,12.63462686061859
4,insurance-5000,50,kmax,5,6,9600.0,-68053.141,-13.171643550104314,0.02546473026275635
5,hepar2-5000,50,kmax,5,7,768.0,-164433.403,-32.65349793396637,0.03407940149307251
6,hailfinder-5000,50,kmax,5,6,7128.0,-252358.105,-49.41159362975881,0.04172079086303711
7,child-5000,50,kmax,5,8,38880.0,-62059.503,-12.226682146119426,0.01880155086517334
8,barley-5000,50,kmax,5,5,2026080.0,-294944.952,-52.398346134361674,1.604165930747986
9,alarm-5000,50,kmax,5,15,35831808.0,-53781.339,-10.415376396591016,4.159306602478027
10,water-5000,50,kmax,4,4,768.0,-65865.813,-12.946334315887624,0.015320804119110108
11,survey-5000,50,kmax,4,2,12.0,-19710.916,-3.931762627574588,0.007950117588043213
12,sachs-5000,50,kmax,4,5,729.0,-36511.41,-7.162535736155533,0.010004606246948242
13,mildew-5000,50,kmax,4,5,14968800.0,-262638.071,-48.76825478114104,13.231483066082
14,insurance-5000,50,kmax,4,6,9600.0,-68053.141,-13.171643550104314,0.02494302034378052
15,hepar2-5000,50,kmax,4,7,768.0,-164433.403,-32.65349793341866,0.03225174188613891
16,hailfinder-5000,50,kmax,4,6,3888.0,-252358.106,-49.41166733757574,0.033348793983459475
17,child-5000,50,kmax,4,8,38880.0,-62059.503,-12.226682146119426,0.020073626041412353
18,barley-5000,50,kmax,4,5,2026080.0,-294944.952,-52.398346134361674,1.3097374200820924
19,alarm-5000,50,kmax,4,15,35831808.0,-53781.339,-10.415376396591016,5.180120496749878
20,water-5000,50,kmax,3,4,768.0,-65865.813,-12.946466225974426,0.018823897838592528
21,survey-5000,50,kmax,3,2,12.0,-19710.916,-3.931762627574588,0.00945967435836792
22,sachs-5000,50,kmax,3,5,729.0,-36511.41,-7.1625360002157334,0.010604054927825929
23,mildew-5000,50,kmax,3,5,14968800.0,-262638.071,-48.76825478114104,14.50564995765686
24,insurance-5000,50,kmax,3,6,9600.0,-68053.141,-13.171643550104314,0.02469796419143677
25,hepar2-5000,50,kmax,3,6,384.0,-164433.403,-32.65349793341866,0.03166591167449951
26,hailfinder-5000,50,kmax,3,6,7128.0,-252358.105,-49.41159362975881,0.039771709442138675
27,diabetes-5000,50,kmax,3,6,471900.0,-2264555.363,-406.8654186421982,2.14858687877655
28,child-5000,50,kmax,3,8,38880.0,-62059.503,-12.226682146119426,0.018889155387878415
29,barley-5000,50,kmax,3,5,2026080.0,-294944.952,-52.398346134361674,0.6737570571899414
30,alarm-5000,50,kmax,3,15,35831808.0,-53781.339,-10.415376396591016,6.1483525371551515
31,water-5000,50,kmax,2,4,768.0,-65865.813,-12.946418827835368,0.010530467033386231
32,survey-5000,50,kmax,2,2,12.0,-19710.916,-3.931762627574588,0.007634227275848389
33,sachs-5000,50,kmax,2,5,729.0,-36511.41,-7.1625360002157334,0.007878928184509278
34,mildew-5000,50,kmax,2,5,14968800.0,-262638.071,-48.76825478114104,10.269233992099762
35,insurance-5000,50,kmax,2,6,9600.0,-68053.141,-13.171643550104314,0.0241656756401062
36,hepar2-5000,50,kmax,2,7,768.0,-164433.403,-32.65349793341866,0.03224181890487671
37,hailfinder-5000,50,kmax,2,6,7128.0,-252358.105,-49.41159362975881,0.040952670574188235
38,child-5000,50,kmax,2,8,38880.0,-62059.503,-12.226682146119426,0.01938957691192627
39,barley-5000,50,kmax,2,5,2026080.0,-294944.952,-52.398346134361674,1.531839838027954
40,alarm-5000,50,kmax,2,15,35831808.0,-53781.339,-10.415376400626045,5.574884417057038
41,water-5000,50,kmax,1,4,768.0,-65865.813,-12.946334057535678,0.016044209003448485
42,survey-5000,50,kmax,1,2,12.0,-19710.916,-3.931762627574588,0.008213479518890381
43,sachs-5000,50,kmax,1,5,729.0,-36511.41,-7.1625360002157334,0.010148916244506836
44,mildew-5000,50,kmax,1,5,14968800.0,-262638.071,-48.76825478114104,10.0953027677536
45,insurance-5000,50,kmax,1,6,9600.0,-68053.141,-13.171643550104314,0.021689939498901366
46,hepar2-5000,50,kmax,1,7,768.0,-164433.403,-32.65349793341866,0.033465349674224855
47,hailfinder-5000,50,kmax,1,6,7128.0,-252358.106,-49.41166559445424,0.04111620426177978
48,child-5000,50,kmax,1,8,38880.0,-62059.503,-12.226682146119426,0.018381707668304444
49,barley-5000,50,kmax,1,5,2026080.0,-294944.952,-52.398346134361674,1.8330871915817264
50,alarm-5000,50,kmax,1,15,35831808.0,-53781.339,-10.415376396591016,1.9336330723762511
51,water-5000,50,kg,5,6,5184.0,-65865.813,-12.946418827835368,0.016366019248962402
52,survey-5000,50,kg,5,1,6.0,-19710.916,-3.931762627574588,0.007061867713928222
53,sachs-5000,50,kg,5,5,729.0,-36511.41,-7.162535736155533,0.01149249792098999
54,pigs-5000,50,kg,5,14,14348907.0,-1837872.665,-361.4735850621069,
55,link-5000,50,kg,5,10,2097152.0,-1635477.431,-318.26250322720597,7.955073478221894
56,insurance-5000,50,kg,5,9,32400.0,-68053.141,-13.171643550104314,0.025752437114715577
57,hailfinder-5000,50,kg,5,10,1368576.0,-252358.106,-49.41166733757574,0.3519940090179443
58,child-5000,50,kg,5,6,4860.0,-62059.503,-12.226682146119426,0.014937396049499512
59,barley-5000,50,kg,5,7,20736000.0,-294944.952,-52.398346134361674,10.934373168945312
60,alarm-5000,50,kg,5,8,36864.0,-53781.339,-10.415376396591016,0.040262200832366944
61,water-5000,50,kg,4,3,256.0,-65865.813,-12.946334060072498,0.015511314868927002
62,survey-5000,50,kg,4,3,24.0,-19710.916,-3.931762627574588,0.007280235290527344
63,sachs-5000,50,kg,4,4,243.0,-36511.41,-7.162535835738647,0.009697895050048828
64,link-5000,50,kg,4,11,16777216.0,-1634091.336,-316.5391776284947,53.19166582107544
65,insurance-5000,50,kg,4,11,414720.0,-68053.141,-13.171643550104314,0.08630670547485352
66,hepar2-5000,50,kg,4,12,55296.0,-164436.026,-32.65772726231221,0.2082299661636353
67,hailfinder-5000,50,kg,4,9,331776.0,-252358.106,-49.41159361497365,0.27076464891433716
68,diabetes-5000,50,kg,4,7,13449150.0,-2274910.62,-405.9726281922924,62.28604047298431
69,child-5000,50,kg,4,8,17280.0,-62059.503,-12.226682146119426,0.013585190773010252
70,alarm-5000,50,kg,4,12,1990656.0,-53781.339,-10.415376396591016,0.4090882444381714
71,water-5000,50,kg,3,3,192.0,-65865.813,-12.946418827835368,0.014978601932525634
72,survey-5000,50,kg,3,3,24.0,-19710.916,-3.931762627574588,0.007017147541046142
73,sachs-5000,50,kg,3,6,2187.0,-36511.41,-7.162535835738647,0.011088967323303224
74,link-5000,50,kg,3,11,16384.0,-1634342.089,-317.9547858114594,0.965820643901825
75,insurance-5000,50,kg,3,12,3686400.0,-68053.141,-13.171643550104314,0.1733198070526123
76,hepar2-5000,50,kg,3,19,84934656.0,-164443.305,-32.64584365886301,
77,hailfinder-5000,50,kg,3,12,223534080.0,-252358.106,-49.41166559445424,
78,child-5000,50,kg,3,6,1296.0,-62059.503,-12.226682146119426,0.01412421464920044
79,alarm-5000,50,kg,3,8,13824.0,-53781.339,-10.415376396591016,0.02730619668960571
80,barley-5000,50,kg,3,6,564480.0,-294944.952,-52.398346134361674,0.8217008757591248
81,water-5000,50,kg,2,6,6912.0,-65865.813,-12.946418827835368,0.019870505332946774
82,survey-5000,50,kg,2,3,24.0,-19710.916,-3.931762627574588,0.007469654083251953
83,sachs-5000,50,kg,2,5,729.0,-36511.41,-7.162536099798797,0.011621170043945313
84,mildew-5000,50,kg,2,4,92160.0,-262638.071,-48.76825478114104,0.0733827829360962
85,link-5000,50,kg,2,9,524288.0,-1640222.009,-319.91945556107413,1.9957906341552736
86,insurance-5000,50,kg,2,10,983040.0,-68053.141,-13.171643550104314,0.2063246750831604
87,hepar2-5000,50,kg,2,11,110592.0,-164443.429,-32.65350031713389,0.3288807272911072
88,child-5000,50,kg,2,12,466560.0,-62059.503,-12.226682146119426,0.032349298000335695
89,alarm-5000,50,kg,2,7,15552.0,-53781.339,-10.415376396591016,0.0381326937675476
90,water-5000,50,kg,1,4,768.0,-65865.813,-12.946334060072498,0.01562002658843994
91,survey-5000,50,kg,1,3,24.0,-19710.916,-3.931762627574588,0.012172074317932128
92,sachs-5000,50,kg,1,7,6561.0,-36511.41,-7.162536099798797,0.011619973182678222
93,mildew-5000,50,kg,1,5,2459520.0,-262638.071,-48.76825478114104,1.472369818687439
94,link-5000,50,kg,1,11,65536.0,-1636566.392,-318.2305338391258,1.112452619075775
95,insurance-5000,50,kg,1,8,61440.0,-68053.141,-13.171643550104314,0.04291345596313476
96,hepar2-5000,50,kg,1,15,393216.0,-164438.95,-32.65260326778031,0.8420137882232666
97,hailfinder-5000,50,kg,1,9,342144.0,-252358.106,-49.41166559445424,0.31660899877548215
98,child-5000,50,kg,1,7,9720.0,-62059.503,-12.226682146119426,0.012622277736663818
99,barley-5000,50,kg,1,8,93312000.0,-294944.952,-52.398346134361674,35.459486675262454
100,alarm-5000,50,kg,1,8,4608.0,-53781.339,-10.415376400626045,0.023928680419921876
101,water-5000,45,kmax,5,4,768.0,-65865.813,-12.946465970499538,0.014848384857177734
102,survey-5000,45,kmax,5,2,12.0,-19710.916,-3.931762627574588,0.008288156986236573
103,sachs-5000,45,kmax,5,5,729.0,-36511.41,-7.162535835738647,0.009649388790130616
104,mildew-5000,45,kmax,5,5,14968800.0,-262638.071,-48.76825478114104,9.00132726430893
105,insurance-5000,45,kmax,5,6,9600.0,-68053.141,-13.171643550104314,0.026685092449188232
106,hepar2-5000,45,kmax,5,7,768.0,-164433.403,-32.65349793341866,0.03404858589172363
107,hailfinder-5000,45,kmax,5,6,7128.0,-252359.119,-49.41186827955912,0.04017462253570556
108,diabetes-5000,45,kmax,5,5,484500.0,-2268753.478,-409.2433831838899,2.0709050059318543
109,child-5000,45,kmax,5,8,38880.0,-62059.503,-12.226682146119426,0.01789240598678589
110,barley-5000,45,kmax,5,5,2026080.0,-294944.952,-52.398346134361674,1.6298189640045166
111,alarm-5000,45,kmax,5,15,35831808.0,-53781.339,-10.415376396591016,2.9092459225654603
112,water-5000,45,kmax,4,4,768.0,-65865.813,-12.946334060412806,0.015669739246368407
113,survey-5000,45,kmax,4,2,12.0,-19710.916,-3.931762627574588,0.008626906871795655
114,sachs-5000,45,kmax,4,5,729.0,-36511.41,-7.1625360002157334,0.01117677927017212
115,mildew-5000,45,kmax,4,5,14968800.0,-262638.071,-48.76825478114104,13.44765636444092
116,insurance-5000,45,kmax,4,6,9600.0,-68053.141,-13.171643550104314,0.02434415102005005
117,hepar2-5000,45,kmax,4,7,768.0,-164433.411,-32.65349794664046,0.031807174682617186
118,hailfinder-5000,45,kmax,4,4,1188.0,-252361.761,-49.411823923334744,0.03335433483123779
119,child-5000,45,kmax,4,8,38880.0,-62059.503,-12.226682146119426,0.0192568302154541
120,barley-5000,45,kmax,4,5,2026080.0,-294944.952,-52.398346134361674,1.744466941356659
121,alarm-5000,45,kmax,4,15,35831808.0,-53781.339,-10.415376396591016,4.398343975543976
