index,instance,numcons,conseed,slimseed,budget,timeout,farc,score,ts
0,link,50,1,2,20,10,no,-1701479.0104,16.2
1,link,50,1,2,20,10,no,-1701301.6134,30.8
2,link,50,1,2,20,10,no,-1700692.5106,56.5
3,link,50,1,2,20,10,no,-1694312.0574,85.2
4,link,50,1,2,20,10,no,-1692848.0875,112.9
5,link,50,1,2,20,10,no,-1692582.4664,116.4
6,link,50,1,2,20,10,no,-1688560.2973,172.2
7,link,50,1,2,20,10,no,-1688431.1999,207.0
8,link,50,1,2,20,10,no,-1688405.8425,210.6
9,link,50,1,2,20,10,no,-1688261.6892,217.7
10,link,50,1,2,20,10,no,-1685227.617,270.3
11,link,50,1,2,20,10,no,-1684998.8023,300.9
12,link,50,1,2,20,10,no,-1683916.8595,391.2
13,link,50,1,2,20,10,no,-1683777.754,446.5
14,link,50,1,2,20,10,no,-1683721.1615,462.3
15,link,50,1,2,20,10,no,-1683673.4456,623.3
16,link,50,1,2,20,10,no,-1683671.9647,627.2
17,link,50,1,2,20,10,no,-1683671.2444,630.8
18,link,50,1,2,20,10,no,-1683508.4985,760.6
19,link,50,1,2,20,10,no,-1683484.3692,764.1
20,link,50,1,2,20,10,no,-1683268.9989,777.2
21,link,50,1,2,20,10,no,-1682658.1069,797.8
22,link,50,1,2,20,10,no,-1682656.6073,833.4
23,link,50,1,2,20,10,no,-1680109.7015,851.7
24,link,50,1,2,20,10,no,-1679580.5268,896.2
25,link,50,1,2,20,10,no,-1679269.7617,912.7
26,link,50,1,2,20,10,no,-1678713.0009,954.4
27,link,50,1,2,20,10,no,-1673458.4846,969.5
28,link,50,1,2,20,10,no,-1673349.5307,1257.2
29,link,50,1,2,20,10,no,-1672644.1064,1329.9
30,link,50,1,2,20,10,no,-1672379.83,1377.4
31,link,50,1,2,20,10,no,-1672263.2178,1394.5
32,link,50,1,2,20,10,no,-1672261.8271,1442.2
33,link,50,1,2,20,10,no,-1672260.7276,1445.8
34,link,50,1,2,20,10,no,-1672111.0139,1463.7
35,link,50,1,2,20,10,no,-1671935.543,1491.9
36,link,50,1,2,20,10,no,-1671934.4506,1505.0
37,link,50,1,2,20,10,no,-1671866.4941,1567.2
38,link,50,1,2,20,10,no,-1671718.0051,1727.2
39,link,50,1,2,20,10,no,-1671560.592,1772.9
40,link,50,1,2,20,10,no,-1671492.172,1803.4
41,munin4,75,1,1,20,5,no,-1136035.5483,47.3
42,munin4,75,1,1,20,5,no,-1135910.5547,63.0
43,munin4,75,1,1,20,5,no,-1135520.6738,79.0
44,munin4,75,1,1,20,5,no,-1135511.2582,95.1
45,munin4,75,1,1,20,5,no,-1135492.9866,545.2
46,munin4,75,1,1,20,5,no,-1135477.9954,556.7
47,munin4,75,1,1,20,5,no,-1135394.5993,568.0
48,munin4,75,1,1,20,5,no,-1133910.7372,584.5
49,munin4,75,1,1,20,5,no,-1133907.7798,595.9
50,munin4,75,1,1,20,5,no,-1132189.4644,622.6
51,munin4,75,1,1,20,5,no,-1131079.528,643.5
