index,instance,numcons,conseed,slimseed,score,timestamp,budget,timeout,farc,num_constraints,num_satisfied
0,diabetes,10,2,2,-2305548.46,final,20,10,yes,50,41
1,munin1,50,1,2,-328731.977,30,20,5,no,250,163
2,asia,10,1,1,-11445.385,final,20,10,yes,15,15
3,hepar2,50,3,2,-165935.763,final,20,10,yes,230,168
4,hepar2,10,2,1,-164812.471,30,20,10,yes,50,47
5,hailfinder,25,1,2,-262815.416,final,20,10,no,125,97
6,hailfinder,10,1,1,-259822.696,final,20,5,yes,50,43
7,munin,75,3,2,-1136884.038,final,20,5,no,375,312
8,munin,50,1,1,-1120081.349,30,20,5,yes,250,232
9,barley,5,3,2,-296640.747,30,20,5,yes,25,23
10,link,75,3,1,-1682104.556,30,20,5,yes,375,292
11,hepar2,25,1,2,-167872.983,30,20,5,no,125,84
12,munin1,25,1,2,-288251.274,final,20,5,no,125,97
13,barley,10,3,2,-299087.243,final,20,10,yes,50,32
14,sachs,5,1,1,-38733.51,30,20,5,yes,25,19
15,insurance,10,2,2,-71435.011,30,20,5,no,50,46
16,survey,10,2,2,-19714.342,final,20,10,no,10,9
17,pathfinder,50,1,1,-188237.626,30,20,10,no,250,158
18,hailfinder,50,2,1,-267733.003,30,20,10,no,160,119
19,diabetes,50,2,1,-2438241.019,final,20,10,no,250,192
20,water,10,3,1,-65875.314,30,20,5,yes,50,39
21,diabetes,50,1,2,-2465599.057,final,20,10,no,250,195
22,munin3,25,1,2,-947237.261,30,20,10,yes,125,116
23,survey,5,2,1,-19714.342,30,20,10,yes,10,9
24,andes,10,2,2,-497390.647,30,20,5,yes,50,42
25,munin,75,3,2,-1136884.038,30,20,5,no,375,312
26,munin3,50,2,2,-965802.723,final,20,10,no,250,234
27,hailfinder,10,2,2,-256308.712,final,20,5,yes,50,43
28,pathfinder,10,1,2,-172143.772,30,20,5,no,50,48
29,munin1,25,3,1,-309189.102,30,20,5,no,125,110
30,diabetes,10,1,2,-2275895.866,final,20,5,no,50,47
31,munin4,75,3,1,-1134427.216,final,20,10,no,375,332
32,pigs,75,1,2,-1909726.887,final,20,10,yes,375,307
33,munin3,75,1,1,-986470.655,final,20,5,yes,375,320
34,pathfinder,25,3,1,-194469.019,30,20,5,no,125,99
35,water,10,2,2,-65974.629,final,20,10,yes,50,39
36,pathfinder,50,3,1,-249324.185,final,20,5,no,250,155
37,andes,10,2,2,-498092.888,final,20,10,no,50,42
