index,instance,numcons,conseed,blipseed,score,ts
0,diabetes,25,3,3,-2511797.4799,0.4
1,diabetes,25,3,3,-2504927.3727,0.8
2,diabetes,25,3,3,-2476256.9869,5.1
3,diabetes,25,3,3,-2471956.6186,501.3
4,barley,5,3,1,-319767.8071,0.2
5,barley,5,3,1,-319719.5123,1.4
6,barley,5,3,1,-318488.1708,2.2
7,barley,5,3,1,-318073.6099,2.5
8,barley,5,3,1,-316821.177,3.3
9,barley,5,3,1,-316367.1769,3.6
10,barley,5,3,1,-316361.4498,745.3
11,barley,5,3,1,-315631.1426,835.8
12,munin,25,1,3,-1110320.5005,1.3
13,child,5,2,1,-67621.329,0.1
14,child,5,2,1,-67504.1375,0.2
15,child,5,2,1,-66643.9041,0.2
16,child,5,2,1,-63578.4504,0.4
17,child,5,2,1,-63576.2567,0.6
18,child,5,2,1,-63439.8377,0.8
19,child,5,2,1,-63270.6318,1.1
20,child,5,2,1,-63135.1378,1.1
21,child,5,2,1,-63121.1774,1.1
22,child,5,2,1,-63048.1962,1.3
23,child,5,2,1,-63034.2358,7.7
24,child,5,2,1,-62885.333,20.5
25,child,5,2,1,-62841.5557,26.9
26,child,5,2,1,-62827.5953,52.2
27,child,5,2,1,-62784.431,801.2
28,alarm,10,2,2,-76376.2588,0.2
29,alarm,10,2,2,-75303.245,0.2
30,alarm,10,2,2,-73832.7599,0.2
31,alarm,10,2,2,-73129.5475,0.3
32,alarm,10,2,2,-72918.0901,0.3
33,alarm,10,2,2,-72406.1015,0.3
34,alarm,10,2,2,-70595.9475,0.4
35,alarm,10,2,2,-69590.2386,0.4
36,alarm,10,2,2,-69491.1274,0.9
37,alarm,10,2,2,-68562.2455,1.6
38,alarm,10,2,2,-68063.6024,108.6
39,alarm,10,2,2,-67597.5901,166.2
40,alarm,10,2,2,-67505.2696,230.6
41,alarm,10,2,2,-67504.7532,2291.6
42,alarm,10,2,2,-67362.7093,3314.6
43,hepar2,25,1,2,-169060.4608,0.2
44,hepar2,25,1,2,-168348.8222,0.5
45,hepar2,25,1,2,-168299.8863,0.9
46,hepar2,25,1,2,-168299.5062,2.4
47,hepar2,25,1,2,-168218.2554,3.2
48,hepar2,25,1,2,-168200.416,7.5
49,hepar2,25,1,2,-167916.866,7.9
50,hepar2,25,1,2,-167872.9829,963.1
51,hepar2,25,1,2,-167872.7673,2249.4
52,diabetes,25,1,2,-2506421.5247,0.3
53,diabetes,25,1,2,-2500525.1442,0.7
54,diabetes,25,1,2,-2468246.8372,0.9
55,diabetes,25,1,2,-2443886.2871,203.5
56,diabetes,25,1,2,-2427838.6209,393.9
57,water,5,1,2,-71889.0472,0.1
58,water,5,1,2,-71322.6023,0.1
59,water,5,1,2,-70993.0656,0.1
60,water,5,1,2,-70953.6157,0.3
61,water,5,1,2,-70935.7355,0.5
62,water,5,1,2,-70261.5253,0.9
63,water,5,1,2,-69930.0037,2.3
64,water,5,1,2,-69834.6989,2.7
65,water,5,1,2,-69784.8727,5.7
66,water,5,1,2,-69773.9268,6.5
67,water,5,1,2,-69765.1786,13.6
68,water,5,1,2,-69763.4237,34.9
69,water,5,1,2,-69757.8745,43.1
70,water,5,1,2,-69748.6835,60.0
71,water,5,1,2,-69746.9286,328.8
72,alarm,5,1,3,-66764.9338,0.1
73,alarm,5,1,3,-62465.2909,0.2
74,alarm,5,1,3,-61667.7495,0.2
75,alarm,5,1,3,-60561.73,0.9
76,alarm,5,1,3,-59755.0681,1.3
77,alarm,5,1,3,-59244.6216,1.9
78,alarm,5,1,3,-59208.3444,2.3
79,alarm,5,1,3,-59205.3861,3.4
80,alarm,5,1,3,-57613.9852,3.9
81,diabetes,50,3,3,-2678686.7293,0.7
82,diabetes,50,3,3,-2671816.0373,2.9
83,diabetes,50,3,3,-2665858.5657,4.9
84,diabetes,50,3,3,-2663317.1786,1270.8
85,win95pts,10,1,1,-64896.9531,0.2
86,win95pts,10,1,1,-60047.6312,0.3
87,win95pts,10,1,1,-56462.9147,0.9
88,win95pts,10,1,1,-55919.5668,126.6
89,win95pts,10,1,1,-55658.7619,195.1
90,win95pts,10,1,1,-55317.0695,219.7
91,win95pts,10,1,1,-54692.9289,449.8
