index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
0,mildew,10,1,2,-281322.676,final,50,33
1,win95pts,10,1,2,-54125.09,30,50,47
2,munin,50,1,2,-1120976.662,60,250,230
3,water,10,1,2,-74556.843,30,50,29
4,andes,25,3,1,-524705.11,60,125,95
5,andes,10,1,1,-507795.15,final,50,42
6,munin4,75,2,1,-1150323.457,final,375,326
7,hepar2,25,1,2,-167872.983,30,125,84
8,pathfinder,10,1,1,-171840.78,60,50,48
9,alarm,5,3,2,-57218.048,final,25,23
10,pigs,75,2,1,-1969266.661,60,375,315
11,hepar2,10,1,2,-166605.125,30,50,40
12,munin1,25,3,2,-310462.577,60,125,110
13,water,5,3,1,-68970.569,final,25,24
14,hailfinder,25,1,2,-282302.511,60,125,87
15,cancer,10,2,3,-10582.736,30,5,4
16,diabetes,50,2,2,-2597812.99,30,250,192
17,link,25,1,3,-1673438.046,60,125,112
18,diabetes,25,3,2,-2497935.872,60,125,110
19,link,75,3,3,-1730792.657,60,375,292
20,hailfinder,10,3,3,-276087.128,30,50,40
21,hailfinder,50,1,2,-300617.171,60,160,89
22,andes,50,2,1,-544144.891,30,250,147
23,hailfinder,10,2,3,-268038.217,60,50,38
24,survey,5,3,3,-19714.342,60,10,9
25,diabetes,25,1,3,-2435754.929,30,125,102
26,water,5,3,2,-68806.634,30,25,24
27,diabetes,10,1,3,-2334502.842,60,50,45
28,pigs,50,3,3,-1933313.825,final,250,229
29,munin1,50,2,1,-380534.742,final,250,161
30,win95pts,25,1,2,-71136.804,60,125,72
31,munin2,75,3,3,-975607.148,final,375,333
32,pigs,50,2,3,-1936156.286,final,250,221
33,alarm,5,1,1,-57836.934,60,25,23
34,munin1,10,2,1,-273469.459,final,50,49
35,win95pts,50,3,1,-83805.582,30,250,124
36,andes,50,2,2,-545803.465,60,250,148
37,mildew,5,2,2,-274372.436,60,25,23
38,munin4,75,3,1,-1136380.501,30,375,332
39,munin3,50,2,3,-967229.071,final,250,233
40,munin1,25,3,1,-309189.102,60,125,110
41,hailfinder,50,3,3,-304623.714,final,160,104
42,hepar2,10,1,2,-166605.125,60,50,40
43,munin3,75,1,2,-987063.331,30,375,316
44,hailfinder,50,3,3,-304662.756,30,160,103
45,hepar2,10,2,3,-165224.719,final,50,46
46,win95pts,10,3,2,-59349.331,final,50,39
47,munin2,50,2,1,-959390.494,30,250,223
48,munin4,50,3,2,-1112841.741,30,250,220
49,andes,25,1,3,-524847.921,30,125,88
50,water,5,3,3,-68867.272,60,25,24
51,andes,50,1,2,-540810.992,final,250,164
52,diabetes,10,1,2,-2344795.869,30,50,47
53,hepar2,10,2,2,-165756.71,final,50,39
54,barley,5,3,1,-315631.143,30,25,21
55,asia,10,1,3,-11548.251,60,15,15
56,munin1,50,1,1,-373088.149,30,250,153
57,asia,5,1,2,-11548.251,final,15,15
58,hailfinder,50,2,1,-301056.633,final,160,95
59,asia,5,3,1,-12837.513,final,15,12
60,diabetes,25,1,1,-2445467.799,final,125,107
61,sachs,5,1,1,-38733.51,final,25,19
62,barley,5,3,2,-314605.608,60,25,21
63,munin2,50,1,3,-968403.757,60,250,224
64,andes,25,1,3,-524847.921,60,125,88
65,mildew,10,1,3,-281322.676,final,50,33
66,munin,50,2,3,-1132519.649,30,250,225
67,alarm,10,2,2,-67362.709,final,50,41
68,pathfinder,50,2,1,-249425.747,30,250,154
69,munin1,50,3,3,-354261.409,final,250,171
70,hepar2,50,3,3,-171083.448,final,230,122
71,survey,5,2,3,-19714.342,final,10,9
72,munin2,50,1,2,-965944.393,30,250,219
73,asia,10,2,3,-11548.251,final,15,15
74,link,75,3,2,-1723551.738,60,375,287
75,hepar2,50,2,1,-169845.238,60,230,143
76,win95pts,10,2,2,-58187.258,30,50,43
77,andes,50,3,3,-540298.115,30,250,150
78,pathfinder,10,3,2,-164174.559,final,50,46
79,munin1,10,3,3,-267354.728,30,50,46
80,water,10,2,2,-72629.067,30,50,35
81,munin2,75,1,1,-961206.875,30,375,332
82,link,50,2,1,-1693462.294,30,250,211
83,munin2,25,1,3,-939185.865,30,125,115
84,hailfinder,50,1,3,-300617.339,60,160,89
85,hailfinder,50,2,3,-300741.798,30,160,94
86,munin1,25,2,2,-315678.106,30,125,94
87,mildew,5,2,2,-274372.436,30,25,23
88,barley,10,2,3,-331900.92,60,50,36
89,mildew,10,3,1,-288540.903,30,50,32
90,alarm,10,1,3,-68106.525,60,50,41
91,munin2,25,2,2,-949689.464,60,125,117
92,win95pts,50,3,1,-82787.709,60,250,125
93,munin,50,1,2,-1120976.662,final,250,230
94,andes,10,2,3,-513336.607,final,50,41
95,diabetes,10,2,1,-2343794.389,60,50,41
96,win95pts,25,2,2,-76122.957,final,125,78
97,barley,5,2,3,-314356.036,30,25,23
98,pigs,50,2,3,-1936156.286,30,250,221
99,barley,5,2,2,-316768.106,30,25,23
100,hailfinder,10,3,1,-272608.855,final,50,40
101,pigs,75,3,3,-1965727.379,60,375,314
102,andes,25,1,1,-523776.069,30,125,90
103,win95pts,10,3,1,-59458.692,30,50,39
104,hailfinder,10,1,3,-277636.393,60,50,39
105,munin4,75,1,1,-1137509.434,30,375,341
106,diabetes,25,3,3,-2471956.619,final,125,110
107,hailfinder,10,2,1,-267658.275,final,50,38
108,munin,50,3,2,-1120468.729,30,250,223
109,munin,75,3,1,-1148353.743,60,375,307
110,diabetes,10,3,3,-2349864.302,final,50,48
111,pathfinder,50,3,2,-249914.951,30,250,148
112,munin1,50,2,2,-376775.665,final,250,160
113,hepar2,25,1,1,-167889.435,final,125,82
114,andes,50,3,3,-540298.115,final,250,150
115,pigs,75,2,3,-1973081.79,30,375,308
116,pigs,25,1,3,-1913737.656,60,125,125
117,barley,5,2,3,-314356.036,final,25,23
118,pigs,25,1,2,-1911144.161,30,125,125
119,munin,25,1,1,-1097085.431,60,125,117
120,insurance,10,2,3,-78442.708,30,50,39
121,hepar2,25,3,3,-168777.234,60,125,88
122,munin2,25,2,2,-949689.464,30,125,117
123,sachs,5,1,2,-38733.51,30,25,19
124,munin1,10,1,3,-264036.28,30,50,46
125,link,50,2,1,-1674152.02,60,250,212
126,hepar2,25,3,1,-168771.497,30,125,88
127,munin,50,1,3,-1124149.66,final,250,233
128,sachs,10,1,3,-38452.851,final,40,32
129,asia,5,3,2,-12837.513,30,15,12
130,munin1,10,1,3,-264034.041,60,50,46
131,hailfinder,10,3,1,-272608.855,60,50,40
132,pathfinder,25,3,1,-197215.102,final,125,98
133,hailfinder,25,2,1,-307438.962,30,125,74
134,link,25,1,2,-1683443.606,final,125,111
135,barley,10,3,3,-335719.522,final,50,31
136,alarm,10,3,1,-67155.624,30,50,40
137,hepar2,50,2,3,-169844.983,60,230,141
138,hailfinder,10,3,3,-276087.128,final,50,40
139,diabetes,10,1,1,-2330390.863,30,50,44
140,sachs,10,2,1,-36512.303,final,40,39
141,pathfinder,10,1,1,-172574.542,30,50,48
142,pathfinder,25,1,3,-189653.773,60,125,103
143,diabetes,10,2,2,-2370463.068,60,50,43
144,munin1,25,1,1,-302689.141,60,125,95
145,hepar2,25,1,2,-167872.767,60,125,84
146,alarm,5,2,3,-60193.147,final,25,23
147,hailfinder,50,3,2,-304923.346,final,160,102
148,hepar2,25,2,2,-168698.284,60,125,82
149,munin,75,1,2,-1168276.902,final,375,317
150,asia,5,3,3,-12837.513,final,15,12
151,hailfinder,25,3,3,-289655.413,30,125,80
152,pigs,50,2,2,-1928533.312,60,250,224
153,water,10,3,2,-71692.372,final,50,30
154,munin3,25,1,1,-947954.804,60,125,116
155,munin,50,1,3,-1124149.66,60,250,233
156,pathfinder,25,2,3,-187559.825,final,125,106
157,munin,75,1,2,-1168276.902,60,375,317
158,hailfinder,25,2,1,-307438.962,60,125,74
159,andes,10,1,2,-510280.722,60,50,42
160,pigs,75,2,3,-1973081.79,final,375,308
161,munin3,50,2,2,-965802.723,30,250,234
162,hailfinder,25,2,2,-305577.255,final,125,75
163,hepar2,50,1,1,-170406.794,30,230,132
164,munin2,75,1,2,-960013.787,60,375,331
165,win95pts,25,2,1,-76252.161,60,125,78
166,win95pts,50,1,1,-85100.794,30,250,125
167,pigs,50,2,1,-1938247.0,60,250,224
168,pathfinder,25,2,1,-188293.854,30,125,106
169,munin,75,2,3,-1161605.772,30,375,317
170,asia,10,3,1,-12837.513,60,15,12
171,pathfinder,10,2,3,-167874.222,final,50,47
172,hepar2,25,1,3,-167904.343,30,125,82
173,asia,10,3,2,-12837.513,60,15,12
174,pigs,25,3,2,-1921390.929,final,125,122
175,pathfinder,50,3,1,-252962.048,final,250,155
176,win95pts,10,2,2,-57881.094,final,50,43
177,link,50,1,2,-1701711.801,30,250,206
178,alarm,10,2,1,-67505.27,final,50,41
