index,instance,score
0,hepar2,-325333.20139999996
1,survey,-39438.3812
2,munin3,-1645311.8528999996
3,water,-116341.31539999999
4,pathfinder,-278544.45259999996
5,link,-2999403.964400002
6,earthquake,-4639.3858
7,barley,-506840.73509999993
8,cancer,-20999.793299999998
9,munin1,-411803.4830000002
10,munin,-1857226.177700005
11,insurance,-117889.56349999999
12,asia,-22421.796599999998
13,child,-122417.253
14,munin4,-1833410.3027000027
15,diabetes,-3585438.3459999976
16,hailfinder,-480662.40070000006
17,munin2,-1651124.8719000006
18,pigs,-3332504.0786
19,alarm,-103178.40450000002
20,andes,-926367.01
21,win95pts,-89415.35149999999
22,mildew,-498712.72770000005
23,sachs,-72012.0209
