index,instance,conseed,numcons,blipseed,score,num_constraints,num_satisfied
0,barley,3,10,1,-299855.354,50,28
1,barley,3,5,1,-299855.354,25,14
2,barley,2,5,1,-299855.354,25,14
3,barley,1,5,1,-299855.354,25,13
4,barley,2,10,1,-299855.354,50,28
5,barley,1,10,1,-299855.354,50,32
6,munin2,3,25,3,-928592.957,125,72
7,munin2,2,50,3,-928592.957,250,143
8,munin2,1,75,3,-928592.957,375,217
9,munin2,1,25,3,-928592.957,125,72
10,munin2,1,50,3,-928592.957,250,141
11,munin2,3,75,3,-928592.957,375,214
12,munin2,2,75,3,-928592.957,375,208
13,munin2,2,25,3,-928592.957,125,66
14,munin2,3,50,3,-928592.957,250,139
15,munin,2,25,1,-1072044.022,125,71
16,munin,2,75,1,-1072044.022,375,196
17,munin,2,50,1,-1072044.022,250,132
18,munin,3,25,1,-1072044.022,125,68
19,munin,1,75,1,-1072044.022,375,194
20,munin,1,25,1,-1072044.022,125,64
21,munin,1,50,1,-1072044.022,250,128
22,munin,3,50,1,-1072044.022,250,130
23,munin,3,75,1,-1072044.022,375,205
24,asia,2,5,3,-11445.385,15,15
25,asia,1,5,3,-11445.385,15,15
26,asia,3,5,3,-11445.385,15,15
27,asia,2,10,3,-11445.385,15,15
28,asia,1,10,3,-11445.385,15,15
29,asia,3,10,3,-11445.385,15,15
30,alarm,2,5,1,-54491.232,25,19
31,alarm,3,10,1,-54491.232,50,33
32,alarm,1,5,1,-54491.232,25,19
33,alarm,2,10,1,-54491.232,50,35
34,alarm,1,10,1,-54491.232,50,36
35,alarm,3,5,1,-54491.232,25,19
36,survey,2,5,2,-19710.916,10,7
37,survey,1,10,2,-19710.916,10,7
38,survey,1,5,2,-19710.916,10,7
39,survey,3,10,2,-19710.916,10,8
40,survey,2,10,2,-19710.916,10,7
41,survey,3,5,2,-19710.916,10,8
42,cancer,1,10,2,-10582.736,5,2
43,cancer,1,5,2,-10582.736,5,2
44,cancer,2,10,2,-10582.736,5,4
45,cancer,3,10,2,-10582.736,5,3
46,cancer,3,5,2,-10582.736,5,3
47,cancer,2,5,2,-10582.736,5,4
48,munin3,3,25,1,-929690.665,125,69
49,munin3,3,50,1,-929690.665,250,147
50,munin3,2,75,1,-929690.665,375,210
51,munin3,1,50,1,-929690.665,250,140
52,munin3,2,50,1,-929690.665,250,137
53,munin3,1,25,1,-929690.665,125,66
54,munin3,2,25,1,-929690.665,125,70
55,munin3,1,75,1,-929690.665,375,215
56,munin3,3,75,1,-929690.665,375,206
57,pigs,3,75,2,-1864878.677,375,259
58,pigs,3,25,2,-1864878.677,125,85
59,pigs,2,50,2,-1864878.677,250,165
60,pigs,1,50,2,-1864878.677,250,168
61,pigs,2,25,2,-1864878.677,125,84
62,pigs,3,50,2,-1864878.677,250,168
63,pigs,1,75,2,-1864878.677,375,258
64,pigs,2,75,2,-1864878.677,375,244
65,pigs,1,25,2,-1864878.677,125,90
66,earthquake,3,5,3,-2478.611,10,10
67,earthquake,1,5,3,-2478.611,10,10
68,earthquake,2,5,3,-2478.611,10,10
69,earthquake,3,10,3,-2478.611,10,10
70,earthquake,1,10,3,-2478.611,10,10
71,earthquake,2,10,3,-2478.611,10,10
72,child,1,10,1,-62059.504,50,47
73,child,3,5,1,-62059.504,25,24
74,child,3,10,1,-62059.504,50,45
75,child,1,5,1,-62059.504,25,22
76,child,2,10,1,-62059.504,50,49
77,child,2,5,1,-62059.504,25,20
78,munin2,3,25,2,-929587.526,125,70
79,munin2,2,50,2,-929587.526,250,144
80,munin2,1,75,2,-929587.526,375,213
81,munin2,1,25,2,-929587.526,125,71
82,munin2,1,50,2,-929587.526,250,140
83,munin2,3,75,2,-929587.526,375,216
84,munin2,2,75,2,-929587.526,375,206
85,munin2,2,25,2,-929587.526,125,66
86,munin2,3,50,2,-929587.526,250,142
87,insurance,2,10,2,-68452.347,50,38
88,insurance,2,5,2,-68452.347,25,14
89,insurance,1,10,2,-68452.347,50,36
90,insurance,3,10,2,-68452.347,50,37
91,insurance,3,5,2,-68452.347,25,19
92,insurance,1,5,2,-68452.347,25,18
93,munin4,2,75,3,-1054789.803,375,200
94,munin4,3,50,3,-1054789.803,250,137
95,munin4,1,75,3,-1054789.803,375,207
96,munin4,1,25,3,-1054789.803,125,64
97,munin4,3,25,3,-1054789.803,125,64
98,munin4,1,50,3,-1054789.803,250,142
99,munin4,2,25,3,-1054789.803,125,69
100,munin4,3,75,3,-1054789.803,375,201
101,munin4,2,50,3,-1054789.803,250,136
102,barley,3,10,2,-300006.334,50,32
103,barley,3,5,2,-300006.334,25,15
104,barley,2,5,2,-300006.334,25,16
105,barley,1,5,2,-300006.334,25,14
106,barley,2,10,2,-300006.334,50,32
107,barley,1,10,2,-300006.334,50,32
108,munin3,3,25,3,-929689.683,125,66
109,munin3,3,50,3,-929689.683,250,146
110,munin3,2,75,3,-929689.683,375,210
111,munin3,1,50,3,-929689.683,250,145
112,munin3,2,50,3,-929689.683,250,138
113,munin3,1,25,3,-929689.683,125,73
114,munin3,2,25,3,-929689.683,125,72
115,munin3,1,75,3,-929689.683,375,206
116,munin3,3,75,3,-929689.683,375,209
117,cancer,1,10,1,-10582.736,5,2
118,cancer,1,5,1,-10582.736,5,2
119,cancer,2,10,1,-10582.736,5,4
120,cancer,3,10,1,-10582.736,5,3
121,cancer,3,5,1,-10582.736,5,3
122,cancer,2,5,1,-10582.736,5,4
123,child,1,10,3,-62059.504,50,46
124,child,3,5,3,-62059.504,25,24
125,child,3,10,3,-62059.504,50,46
126,child,1,5,3,-62059.504,25,23
127,child,2,10,3,-62059.504,50,46
128,child,2,5,3,-62059.504,25,23
129,mildew,2,5,1,-262706.383,25,18
130,mildew,2,10,1,-262706.383,50,36
131,mildew,1,10,1,-262706.383,50,35
132,mildew,1,5,1,-262706.383,25,19
133,mildew,3,5,1,-262706.383,25,17
134,mildew,3,10,1,-262706.383,50,33
135,munin1,3,50,2,-246579.299,250,131
136,munin1,2,25,2,-246579.299,125,70
137,munin1,1,25,2,-246579.299,125,69
138,munin1,2,10,2,-246579.299,50,25
139,munin1,3,25,2,-246579.299,125,64
