index,instance,width_bound,heuristic,random_seed,start_heur_widthmode,slim_applied,slim_autobudget_offset,slim_sat_timeout,slim_bag_traversal,tw,msss,score,log_likelihood,reasoning_time
0,link-5000,50,kmax,3,cw,True,7.0,2.0,max-rand,4,48,-1713163.915,-339.33964222299585,0.4407007956504822
1,link-5000,50,kmax,3,cw,True,7.0,120.0,max-rand,4,48,-1717283.615,-340.2034882819233,0.3961253333091736
2,link-5000,50,kmax,3,cw,True,3.0,120.0,max-rand,4,48,-1719141.839,-340.5991120917608,0.4562573266029358
3,link-5000,50,kmax,3,cw,True,7.0,10.0,max-rand,4,48,-1714153.659,-339.5783836438392,0.4573965358734131
4,link-5000,50,kmax,3,cw,True,3.0,10.0,max-rand,4,48,-1711454.153,-338.9794992380688,0.4560841679573059
5,link-5000,500,kmax,3,cw,True,7.0,120.0,max-rand,3,256,-1617044.079,-316.6488937020735,0.5635590577125549
6,link-5000,500,kmax,3,cw,True,7.0,10.0,max-rand,6,256,-1599581.541,-312.8074069563971,0.5278121137619018
7,link-5000,500,kmax,3,cw,True,7.0,2.0,max-rand,3,256,-1606819.3,-314.2194124723283,0.401857750415802
8,link-5000,5000,kmax,3,cw,True,7.0,120.0,max-rand,7,4096,-1623913.377,-317.62930770360146,0.4908322143554687
9,link-5000,5000,kmax,3,cw,True,7.0,2.0,max-rand,7,4096,-1618018.597,-316.46931043009164,0.4875485372543335
10,link-5000,500,kmax,3,cw,True,3.0,120.0,max-rand,3,256,-1619525.824,-317.14316617021353,0.4740311741828918
11,link-5000,500,kmax,3,cw,True,3.0,10.0,max-rand,4,256,-1591452.231,-311.39393084481924,0.4475690078735351
12,link-5000,500,kmax,3,cw,True,3.0,2.0,max-rand,6,256,-1592150.968,-311.67369049742405,0.31369345903396606
13,link-5000,5000,kmax,3,cw,True,3.0,120.0,max-rand,7,4096,-1623913.377,-317.62930770360146,0.374445207118988
14,link-5000,50000,kmax,3,cw,True,7.0,120.0,max-rand,8,32768,-1627156.003,-317.58660725241725,0.5858228373527526
15,link-5000,5000,kmax,3,cw,True,3.0,10.0,max-rand,7,4096,-1618018.597,-316.46931043009164,0.5003102278709411
16,link-5000,5000,kmax,3,cw,True,3.0,2.0,max-rand,7,4096,-1618018.597,-316.46931043009164,0.5215761303901673
17,link-5000,5000,kmax,3,cw,True,7.0,10.0,max-rand,7,4096,-1618018.597,-316.46931043009164,0.5107222247123718
18,link-5000,500000,kmax,3,cw,True,7.0,2.0,max-rand,10,262144,-1621073.515,-316.1684691123513,0.6027149891853333
19,link-5000,500000,kmax,3,cw,True,7.0,120.0,max-rand,10,262144,-1621073.515,-316.1684691123513,0.5115491819381713
20,link-5000,50000,kmax,3,cw,True,3.0,120.0,max-rand,8,32768,-1627156.003,-317.58660725241725,0.5844314002990723
21,link-5000,50000,kmax,3,cw,True,3.0,2.0,max-rand,8,32768,-1627156.003,-317.58660725241725,0.6058026599884033
22,link-5000,500000,kmax,3,cw,True,3.0,2.0,max-rand,10,262144,-1621073.515,-316.1684691123513,0.5669610619544982
23,link-5000,500,kmax,2,cw,True,7.0,120.0,max-rand,6,288,-1623599.971,-317.9060096441578,0.5971969389915466
24,link-5000,500,kmax,2,cw,True,7.0,2.0,max-rand,6,288,-1606866.997,-314.4028295034305,0.3877440023422241
25,link-5000,500000,kmax,3,cw,True,7.0,10.0,max-rand,10,262144,-1621073.515,-316.1684691123513,0.4573745083808899
26,link-5000,50,kmax,2,cw,True,3.0,120.0,max-rand,4,48,-1717904.867,-340.37345745140806,0.5141187357902527
27,link-5000,50,kmax,2,cw,True,7.0,10.0,max-rand,4,48,-1713850.746,-339.5004004637078,0.4303996825218201
28,link-5000,500000,kmax,3,cw,True,3.0,10.0,max-rand,10,262144,-1621073.515,-316.1684691123513,0.6180864691734314
29,link-5000,50,kmax,2,cw,True,7.0,2.0,max-rand,4,48,-1714547.698,-339.6560931802243,0.4747907781600952
30,link-5000,50,kmax,2,cw,True,3.0,2.0,max-rand,4,48,-1711472.33,-339.0037033158473,0.4737620949745178
31,link-5000,50,kmax,2,cw,True,7.0,120.0,max-rand,4,48,-1718008.129,-340.42575504850026,0.5168615841865539
32,link-5000,50,kmax,2,cw,True,3.0,10.0,max-rand,4,48,-1711045.113,-338.9077318786946,0.4505524373054504
33,link-5000,500,kmax,2,cw,True,7.0,10.0,max-rand,5,384,-1598669.972,-312.7632768417383,0.49431968450546265
34,link-5000,500000,kmax,3,cw,True,3.0,120.0,max-rand,10,262144,-1621073.515,-316.1684691123513,0.5848563599586487
35,link-5000,5000,kmax,2,cw,True,7.0,120.0,max-rand,5,4096,-1615664.244,-314.6209632636685,0.5187320494651795
36,link-5000,5000,kmax,2,cw,True,3.0,2.0,max-rand,5,4096,-1618942.763,-315.3231371964584,0.5059813380241394
37,link-5000,500,kmax,2,cw,True,3.0,120.0,max-rand,5,288,-1620678.288,-317.10152433355904,0.5021840381622314
38,link-5000,500,kmax,2,cw,True,3.0,10.0,max-rand,6,288,-1577348.337,-308.6070875886189,0.45643412590026855
39,link-5000,5000,kmax,2,cw,True,7.0,2.0,max-rand,5,4096,-1618942.763,-315.3231371964584,0.550385947227478
40,link-5000,500,kmax,2,cw,True,3.0,2.0,max-rand,6,432,-1582123.866,-309.65379285648265,0.5558389472961426
41,link-5000,5000,kmax,2,cw,True,7.0,10.0,max-rand,5,4096,-1618977.999,-315.56243854854756,0.539548749923706
42,link-5000,5000,kmax,2,cw,True,3.0,10.0,max-rand,5,4096,-1618977.999,-315.56243854854756,0.5822223734855652
43,link-5000,5000,kmax,2,cw,True,3.0,120.0,max-rand,5,4096,-1615664.244,-314.6209632636685,0.5101324653625489
44,link-5000,50000,kmax,2,cw,True,7.0,2.0,max-rand,7,32768,-1626939.986,-317.616785574046,0.5046004462242126
45,link-5000,500000,kmax,2,cw,True,3.0,2.0,max-rand,8,262144,-1620590.865,-315.90916940726476,0.5946842169761658
46,link-5000,50000,kmax,2,cw,True,7.0,10.0,max-rand,7,32768,-1626939.986,-317.616785574046,0.41092312812805176
47,link-5000,500000,kmax,2,cw,True,7.0,10.0,max-rand,8,262144,-1620590.865,-315.90916940726476,0.6470986628532409
48,link-5000,500000,kmax,2,cw,True,7.0,120.0,max-rand,8,262144,-1620590.865,-315.90916940726476,0.7012072515487671
49,link-5000,50000,kmax,2,cw,True,3.0,120.0,max-rand,7,32768,-1614328.978,-315.1016517593923,0.5446455931663513
50,link-5000,50000,kmax,2,cw,True,7.0,120.0,max-rand,7,32768,-1626939.986,-317.616785574046,0.571029760837555
51,link-5000,500000,kmax,2,cw,True,7.0,2.0,max-rand,8,262144,-1620590.865,-315.90916940726476,0.6921675777435303
52,link-5000,50000,kmax,2,cw,True,3.0,10.0,max-rand,7,32768,-1614328.978,-315.1016517593923,0.6186331605911255
53,link-5000,50000,kmax,2,cw,True,3.0,2.0,max-rand,7,32768,-1614328.978,-315.1016517593923,0.3470317387580872
54,link-5000,500000,kmax,2,cw,True,3.0,120.0,max-rand,8,262144,-1620590.865,-315.90916940726476,0.5733913755416871
55,link-5000,500000,kmax,2,cw,True,3.0,10.0,max-rand,8,262144,-1620590.865,-315.90916940726476,0.5811878418922425
56,link-5000,50,kmax,1,cw,True,7.0,2.0,max-rand,4,48,-1716071.478,-340.01117999153996,0.45057537078857424
57,link-5000,50,kmax,1,cw,True,3.0,120.0,max-rand,4,48,-1718680.694,-340.556986450269,0.4903780388832093
58,link-5000,50,kmax,1,cw,True,3.0,10.0,max-rand,4,48,-1710876.805,-338.8943684987802,0.4836334466934204
59,link-5000,50,kmax,1,cw,True,7.0,10.0,max-rand,4,48,-1713193.345,-339.3820007852289,0.35463480710983275
60,link-5000,50,kmax,1,cw,True,3.0,2.0,max-rand,4,48,-1710419.242,-338.76431926449277,0.4554966402053833
61,link-5000,500,kmax,1,cw,True,7.0,2.0,max-rand,5,256,-1591709.786,-311.2502348970822,0.5411196613311767
62,link-5000,50,kmax,1,cw,True,7.0,120.0,max-rand,4,48,-1716669.728,-340.12511828642045,0.483835871219635
63,link-5000,5000,kmax,1,cw,True,7.0,2.0,max-rand,5,4096,-1622597.435,-317.6281817933286,0.41430581092834473
64,link-5000,5000,kmax,1,cw,True,7.0,10.0,max-rand,5,4096,-1622597.435,-317.6281817933286,0.5376546359062195
65,link-5000,500,kmax,1,cw,True,3.0,120.0,max-rand,5,256,-1627832.381,-318.8465571165598,0.5217846608161927
66,link-5000,5000,kmax,1,cw,True,7.0,120.0,max-rand,5,4096,-1619236.361,-317.2470870800062,0.525661826133728
67,link-5000,5000,kmax,1,cw,True,3.0,10.0,max-rand,5,4096,-1622597.435,-317.6281817933286,0.5342956280708313
68,link-5000,500,kmax,1,cw,True,3.0,2.0,max-rand,4,256,-1583458.79,-309.94795240833133,0.46884142637252807
69,link-5000,500,kmax,1,cw,True,7.0,120.0,max-rand,5,256,-1610779.988,-315.2692904928591,0.5180828428268432
70,link-5000,5000,kmax,1,cw,True,3.0,2.0,max-rand,5,4096,-1622597.435,-317.6281817933286,0.595247609615326
71,link-5000,500,kmax,1,cw,True,3.0,10.0,max-rand,4,256,-1583790.154,-309.98575672723587,0.5838169145584107
72,link-5000,5000,kmax,1,cw,True,3.0,120.0,max-rand,5,4096,-1619057.563,-317.20521052007524,0.5119545221328735
73,link-5000,500,kmax,1,cw,True,7.0,10.0,max-rand,5,256,-1613699.245,-315.6708096920704,0.30751159429550173
74,link-5000,50000,kmax,1,cw,True,3.0,10.0,max-rand,6,16384,-1621607.989,-316.62875982959406,0.5677638626098633
75,link-5000,50000,kmax,1,cw,True,3.0,2.0,max-rand,6,16384,-1624671.51,-317.2188012418841,0.5817913436889648
76,link-5000,50000,kmax,1,cw,True,3.0,120.0,max-rand,6,16384,-1618210.233,-315.91027360381383,0.6222612953186035
77,link-5000,50000,kmax,1,cw,True,7.0,120.0,max-rand,6,16384,-1625182.781,-317.14300615819946,0.5345953035354615
78,link-5000,50000,kmax,1,cw,True,7.0,10.0,max-rand,6,16384,-1625182.781,-317.14300615819946,0.5462542653083802
79,link-5000,50000,kmax,1,cw,True,7.0,2.0,max-rand,7,32768,-1625582.795,-317.4182864397647,0.6111619019508362
80,link-5000,500000,kmax,1,cw,True,7.0,120.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.5943333315849304
81,link-5000,500000,kmax,1,cw,True,7.0,2.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.7138975882530212
82,link-5000,500000,kmax,1,cw,True,7.0,10.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.39636318683624266
83,link-5000,50,kmax,5,tw,True,7.0,2.0,max-rand,7,65536,-1625568.578,-317.8140818705576,0.7094472813606262
84,link-5000,500,kmax,5,tw,True,7.0,120.0,max-rand,8,262144,-1631739.66,-318.54178304292293,0.9821965527534484
85,link-5000,500,kmax,5,tw,True,7.0,2.0,max-rand,6,16384,-1628882.906,-317.7021191970199,0.6203442001342774
86,link-5000,50,kmax,5,tw,True,7.0,10.0,max-rand,7,65536,-1625733.698,-317.8169868637039,0.9011984992027284
87,link-5000,50,kmax,5,tw,True,3.0,120.0,max-rand,8,262144,-1616757.359,-315.54816447020795,1.1673678803443908
88,link-5000,50,kmax,5,tw,True,3.0,2.0,max-rand,8,262144,-1620231.369,-316.4973823442614,1.366964921951294
89,link-5000,500,kmax,5,tw,True,7.0,10.0,max-rand,7,65536,-1630863.632,-317.89816755175985,0.6835462951660156
90,link-5000,500,kmax,5,tw,True,3.0,2.0,max-rand,6,16384,-1615758.821,-315.3936594704611,0.5539294552803039
91,link-5000,50,kmax,5,tw,True,3.0,10.0,max-rand,8,262144,-1620018.123,-316.46018563614365,1.1634145712852475
92,link-5000,500000,kmax,1,cw,True,3.0,2.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.6506799864768982
93,link-5000,50,kmax,5,tw,True,7.0,120.0,max-rand,7,65536,-1627754.696,-318.22054766302887,0.9320765519142152
94,link-5000,500000,kmax,1,cw,True,3.0,10.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.6351065015792847
95,link-5000,500000,kmax,1,cw,True,3.0,120.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.6441329884529113
96,link-5000,5000,kmax,5,tw,True,7.0,120.0,max-rand,5,4096,-1634857.049,-317.6559569103221,0.5691525053977966
97,link-5000,5000,kmax,5,tw,True,7.0,10.0,max-rand,5,4096,-1626044.717,-316.5134496555407,0.5794461441040039
98,link-5000,500,kmax,5,tw,True,3.0,10.0,max-rand,6,16384,-1604083.651,-313.1034249522314,0.5449110889434814
99,link-5000,500,kmax,5,tw,True,3.0,120.0,max-rand,7,65536,-1624036.478,-317.1934438759064,0.5642982959747315
